Name,Outlander 2019 魅力型,Outlander 2019 尊貴型,Outlander 2019 旗艦型4WD,Outlander 2019 尊貴型七人座
新車售價,94.9萬,98.9萬,108.9萬,109.9萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油,汽油
變速系統,無段變速,無段變速,無段變速,無段變速
排氣量,2359cc,2359cc,2359cc,2359cc
能源局公佈平均油耗,13.7km/ltr,13.7km/ltr,12.7km/ltr,13.7km/ltr
能源效率等級,1,1,1,1
燃料稅,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4690mm,4690mm,4690mm,4690mm
車寬(mm),1815mm,1815mm,1815mm,1815mm
車高(mm),1705mm,1705mm,1705mm,1705mm
軸距(mm),2670mm,2670mm,2670mm,2670mm
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,7座
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
最大馬力,168hp@6000rpm,168hp@6000rpm,168hp@6000rpm,168hp@6000rpm
最大扭力,22.4kgm@4200rpm,22.4kgm@4200rpm,22.4kgm@4200rpm,22.4kgm@4200rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/55R18,225/55R18,225/55R18,225/55R18
後輪尺碼,225/55R18,225/55R18,225/55R18,225/55R18
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,-,●,-
電動開闔尾門/行李蓋,-,-,●,-
車頂行李架,●,●,●,●
輪圈規格,18吋,18吋,18吋,18吋
後雨刷,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,-,-,●,-
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
恆溫空調,●,●,●,●
後座出風口,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD/BAS/BOS,EBD/BAS/BOS,EBD/BAS/BOS,EBD/BAS/BOS
動態穩定系統,ASC,ASC,ASC,ASC
車道偏離警示,●,●,●,●
循跡系統,TCL,TCL,TCL,TCL
主動安全預防系統,●,●,●,●
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
盲點偵測系統,○,○,○,○
倒車雷達,四眼式,四眼式,四眼式,四眼式
防盜系統,●,●,●,●
主動式智慧定速系統,●,●,●,●
電子手剎車,-,●,●,●
駕駛模式選擇,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革
座椅高低調整,●,●,駕駛座電動,●
腰部支撐調整,-,-,駕駛座電動,-
前座座椅調整,●,●,●,●
後座座椅調整,●,●,●,●
後座前後滑移,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4
第三排座椅,-,-,-,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,●,●,●,●
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,4,6,6,6
頭燈光源,鹵素,LED,LED,LED
感應頭燈,-,●,●,●
頭燈水準自動調整,-,●,●,●
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
引擎啟閉系統,●,●,●,●
