Name,CLA Shooting Brake 2017 CLA200,CLA Shooting Brake 2017 CLA250,CLA Shooting Brake 2017 AMG CLA45 4MATIC
新車售價,192萬,232萬,315萬
車身型式,Wagon旅行車,Wagon旅行車,Wagon旅行車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,1595cc,1991cc,1991cc
極速(km/h),225km/h,240km/h,250km/h
官方0-100km/h加速(s),8.5s,6.7s,4.3s
能源局公佈平均油耗,14.2km/ltr,13.3km/ltr,11.8km/ltr
燃料稅,4800元,6180元,6180元
牌照稅,7120元,11230元,11230元
車長(mm),4640mm,4640mm,4669mm
車寬(mm),1777mm,1777mm,1777mm
車高(mm),1435mm,1439mm,1417mm
軸距(mm),2699mm,2699mm,2699mm
車重(kg),1460kg,1500kg,1615kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
行李容積(L),495~1354L,495~1354L,495~1354L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
最大馬力,156hp@5300rpm,211hp@5500rpm,381hp@6000rpm
最大扭力,25.5kgm@1250~4000rpm,35.7kgm@1200~4000rpm,48.5kgm@2250~5000rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/40R18,225/40R18,235/40R18
後輪尺碼,225/40R18,225/40R18,235/40R18
引擎擺放位置,前置,前置,前置
電動天窗,○,●,●
運動外觀套件,-,-,●
電動開闔尾門/行李蓋,●,-,●
輪圈規格,18吋,18吋,18吋
後雨刷,●,●,●
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,-,-
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
中控鎖,●,●,●
恆溫空調,●,●,●
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,●,●,●
動態穩定系統,●,●,●
循跡系統,●,●,●
主動安全預防系統,●,●,●
定速系統,●,●,●
自動停車系統,●,-,-
盲點偵測系統,-,-,●
駕駛警示系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,-,●,●
防盜系統,●,●,●
電子手剎車,●,●,●
座椅材質,皮革,皮革,皮革
跑車式座椅,●,●,●
座椅高低調整,●,●,●
腰部支撐調整,●,●,●
前座座椅調整,●,●,●
後座分離式傾倒,40/60分離傾倒,-,4/6分離
座椅記憶功能,●,●,●
外部音源接入,●,●,●
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,●,●,●
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,-,-,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
