Name,GS 2018 200t 豪華版,GS 2018 200t 豪華Plus版,GS 2018 200t 頂級版,GS 2018 200t F sport版,GS 2018 300h F Sport版,GS 2018 350 頂級版,GS 2018 350 F Sport版,GS 2018 450h 頂級版,GS 2018 450h F Sport版
電池種類,-,-,-,-,鎳氫,-,-,-,-
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/50R17,225/50R17,235/45R18,235/40R19,235/40R19,235/45R18,235/40R19,235/45R18,235/40R19
後輪尺碼,225/50R17,225/50R17,235/45R18,265/35R19,265/35R19,235/45R18,265/35R19,235/45R18,265/35R19
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置,前置,前置
電動天窗,-,●,●,●,●,●,●,●,●
運動外觀套件,-,-,-,●,●,-,●,-,●
電動開闔尾門/行李蓋,●,●,●,●,●,●,●,●,●
輪圈規格,17吋,17吋,18吋,19吋,19吋,18吋,19吋,18吋,19吋
感應式雨刷,●,●,●,●,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●,●,●,●,●
後視鏡加熱/除霧,-,-,-,-,-,●,●,●,●
後視鏡電動折疊,●,●,●,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,-,●,●,●
方向盤調整,●,●,●,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,-,●,●,●
方向盤換檔,●,●,●,●,●,●,●,●,●
動力方向盤,●,●,●,●,●,-,●,●,●
旅程電腦,●,●,●,●,●,●,●,●,●
中央顯示幕,-,-,-,-,-,●,-,-,-
抬頭顯示幕,-,-,●,●,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●,●,●,●
中控鎖,●,●,●,●,●,-,●,●,●
衛星導航,●,●,●,●,●,●,●,●,●
恆溫空調,●,●,●,●,●,●,●,●,●
後座出風口,●,●,●,●,●,●,●,●,●
車內粉塵過濾,-,-,●,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●,●,●,●
後座側面氣囊,-,-,●,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●,●,●,●
膝部氣囊,●,●,●,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISOFIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD,-,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC,ESC,ESC,VSC,ESC,ESC,ESC
車道偏離警示,●,●,●,●,●,●,●,●,●
循跡系統,●,●,●,●,●,TRC,●,●,●
主動安全預防系統,●,●,●,●,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●,●,●,●
定速系統,●,●,●,●,●,●,●,●,●
盲點偵測系統,-,-,●,●,●,-,●,●,●
倒車雷達,●,●,●,●,●,前,●,●,●
倒車顯影系統,●,●,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●,●,●
駕駛模式選擇,●,●,●,●,●,●,●,●,●
座椅材質,皮革,真皮,真皮,皮革,皮革,-,真皮,真皮,真皮
跑車式座椅,-,-,-,-,-,-,●,-,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,-,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●,●,●,●,●,●
座椅記憶功能,-,-,-,-,-,●,-,-,-
加熱座椅,●,-,-,-,-,●,●,●,●
通風座椅,-,-,-,-,-,●,●,●,●
後座杯架,●,●,●,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●,●,●,●
外部音源接入,●,●,●,●,●,●,●,●,●
藍牙通訊,●,●,●,●,●,●,●,●,●
音響系統,●,●,●,●,●,●,●,●,●
音響喇叭數量,12,12,17,17,17,17,17,17,17
頭燈光源,LED,LED,LED,LED,LED,LED,LED,LED,LED
感應頭燈,●,●,●,●,●,●,●,●,●
主動轉向頭燈,●,●,●,●,●,●,●,●,●
自適應遠近光,●,●,●,●,●,●,●,●,●
LED日行燈,●,●,●,●,●,●,●,●,●
LED尾燈,●,●,●,●,●,●,●,●,●
前霧燈,●,●,●,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●,●,●
引擎啟閉系統,-,-,-,-,-,觸控,-,觸控,-
