Name,A3 Sportback 2018 35 TFSI,A3 Sportback 2018 35 TFSI Premium,A3 Sportback 2018 40 TFSI Sport,A3 Sportback 2018 S3 Sportback
新車售價,143萬,149.9萬,177萬,249萬
車身型式,掀背車 Hatchback,掀背車 Hatchback,掀背車 Hatchback,掀背車 Hatchback
動力型式,汽油,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速,自手排7速
排氣量,1498cc,1498cc,1984cc,1984cc
極速(km/h),224km/h,224km/h,244km/h,250km/h
官方0-100km/h加速(s),8.2s,8.2s,6.8s,4.6s
燃料稅,4800元,4800元,6180元,6180元
牌照稅,7120元,7120元,11230元,11230元
車長(mm),4313mm,4313mm,4313mm,4322mm
車寬(mm),1785mm,1785mm,1785mm,1785mm
車高(mm),1426mm,1426mm,1426mm,1404mm
軸距(mm),2637mm,2637mm,2637mm,2631mm
車重(kg),1240kg,1240kg,1315kg,1465kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),50L,50L,50L,55L
行李容積(L),380~1220L,380~1220L,380~1220L,340~1180L
前輪距(mm),1543mm,1543mm,1543mm,1535mm
後輪距(mm),1514mm,1514mm,1514mm,1511mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
最大馬力,150hp/5000~6000rpm,150hp/5000~6000rpm,190hp/4200~6000rpm,310hp/5500~6500rpm
最大扭力,25.5kgm/1550~3500rpm,25.5kgm/1550~3500rpm,32.6kgm/1500~4200rpm,40.8kgm/2000~5400rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/45R17,225/45R17,225/45R17,225/40R18
後輪尺碼,225/45R17,225/45R17,225/45R17,225/40R18
引擎擺放位置,前置,前置,前置,前置
電動天窗,-,-,-,●
運動外觀套件,-,-,●,●
車頂行李架,●,●,●,●
玻璃車頂,-,-,-,●
輪圈規格,17吋,17吋,17吋,18吋
後雨刷,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡自動防眩目,●,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡記憶,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,-,-,●,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
Keyless免匙系統,●,●,●,●
中控鎖,●,●,●,●
衛星導航,-,-,-,●
恆溫空調,雙區,雙區,雙區,雙區
後座出風口,●,●,-,-
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISOFIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC,ESC
車道偏離警示,-,●,●,●
循跡系統,ASR,ASR,ASR,ASR
主動安全預防系統,-,●,●,●
斜坡起步輔助,-,●,-,●
定速系統,-,-,-,●
自動停車系統,-,-,●,●
盲點偵測系統,-,●,-,-
駕駛警示系統,-,●,●,●
倒車雷達,前後,●,前後,前後
倒車顯影系統,●,●,●,●
電子懸吊,-,-,-,●
電子差速器,●,-,●,●
電子手剎車,●,●,●,●
駕駛模式選擇,●,●,●,●
座椅材質,真皮,真皮,真皮,-
跑車式座椅,-,-,●,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●
後座分離式傾倒,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,7吋,●,7吋,7吋
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,10,10,10,19
頭燈光源,HID,LED,LED,LED
感應頭燈,●,●,●,●
LED日行燈,●,●,●,●
LED尾燈,-,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
引擎啟閉系統,●,●,●,●
